Image Name,Time,Emotion
gui (100)_0.jpg,2023-04-30 01:10:34.199643,Sad
gui (1002)_0.jpg,2023-04-30 01:10:34.202582,Neutral
gui (1002)_1.jpg,2023-04-30 01:10:34.204583,Sad
gui (1002)_2.jpg,2023-04-30 01:10:34.206645,Neutral
gui (1003)_0.jpg,2023-04-30 01:10:34.208647,Happy
gui (1004)_1.jpg,2023-04-30 01:10:34.211217,Fear
gui (1004)_2.jpg,2023-04-30 01:10:34.213218,Neutral
gui (1006)_0.jpg,2023-04-30 01:10:34.215219,Sad
gui (1006)_1.jpg,2023-04-30 01:10:34.217219,Happy
gui (1007)_0.jpg,2023-04-30 01:10:34.219220,Happy
gui (1008)_0.jpg,2023-04-30 01:10:34.221220,Fear
gui (1008)_1.jpg,2023-04-30 01:10:34.226821,Fear
gui (1009)_0.jpg,2023-04-30 01:10:34.232569,Sad
gui (101)_0.jpg,2023-04-30 01:10:34.237573,Fear
gui (101)_1.jpg,2023-04-30 01:10:34.242574,Happy
gui (1010)_0.jpg,2023-04-30 01:10:34.247576,Fear
gui (1011)_0.jpg,2023-04-30 01:10:34.252577,Sad
gui (1011)_1.jpg,2023-04-30 01:10:34.257331,Fear
gui (1012)_0.jpg,2023-04-30 01:10:34.262332,Sad
gui (1012)_1.jpg,2023-04-30 01:10:34.267337,Neutral
gui (1013)_0.jpg,2023-04-30 01:10:34.272335,Sad
gui (1013)_1.jpg,2023-04-30 01:10:34.277205,Sad
gui (1014)_0.jpg,2023-04-30 01:10:34.282206,Fear
gui (1014)_1.jpg,2023-04-30 01:10:34.287212,Happy
gui (1014)_2.jpg,2023-04-30 01:10:34.292213,Sad
gui (1015)_0.jpg,2023-04-30 01:10:34.297548,Sad
gui (1015)_1.jpg,2023-04-30 01:10:34.302069,Sad
gui (1016)_0.jpg,2023-04-30 01:10:34.306939,Sad
gui (1017)_0.jpg,2023-04-30 01:10:34.311791,Fear
gui (1017)_1.jpg,2023-04-30 01:10:34.316950,Happy
gui (1018)_0.jpg,2023-04-30 01:10:34.321620,Sad
gui (1019)_0.jpg,2023-04-30 01:10:34.325621,Sad
gui (1019)_1.jpg,2023-04-30 01:10:34.330434,Fear
gui (102)_0.jpg,2023-04-30 01:10:34.336482,Happy
gui (102)_1.jpg,2023-04-30 01:10:34.341425,Surprise
gui (1020)_0.jpg,2023-04-30 01:10:34.346426,Fear
gui (1020)_1.jpg,2023-04-30 01:10:34.351428,Sad
gui (1021)_0.jpg,2023-04-30 01:10:34.356742,Sad
gui (1022)_0.jpg,2023-04-30 01:10:34.361378,Sad
gui (1023)_0.jpg,2023-04-30 01:10:34.366359,Sad
gui (1024)_0.jpg,2023-04-30 01:10:34.370651,Sad
gui (1024)_1.jpg,2023-04-30 01:10:34.375550,Sad
gui (1025)_0.jpg,2023-04-30 01:10:34.380368,Fear
gui (1025)_1.jpg,2023-04-30 01:10:34.385187,Sad
gui (1026)_0.jpg,2023-04-30 01:10:34.390188,Fear
gui (1026)_1.jpg,2023-04-30 01:10:34.396071,Neutral
gui (1026)_2.jpg,2023-04-30 01:10:34.400073,Happy
gui (1027)_0.jpg,2023-04-30 01:10:34.404840,Fear
gui (1028)_0.jpg,2023-04-30 01:10:34.409723,Fear
gui (1029)_0.jpg,2023-04-30 01:10:34.415536,Sad
gui (1029)_1.jpg,2023-04-30 01:10:34.420537,Fear
gui (103)_0.jpg,2023-04-30 01:10:34.425539,Happy
gui (1030)_0.jpg,2023-04-30 01:10:34.430381,Fear
gui (1031)_0.jpg,2023-04-30 01:10:34.435771,Happy
gui (1033)_0.jpg,2023-04-30 01:10:34.440385,Happy
gui (1035)_0.jpg,2023-04-30 01:10:34.445312,Sad
gui (1035)_1.jpg,2023-04-30 01:10:34.449975,Sad
gui (1036)_0.jpg,2023-04-30 01:10:34.455707,Happy
gui (1037)_0.jpg,2023-04-30 01:10:34.459600,Happy
gui (1037)_1.jpg,2023-04-30 01:10:34.464601,Sad
gui (1039)_0.jpg,2023-04-30 01:10:34.469602,Sad
gui (1039)_1.jpg,2023-04-30 01:10:34.475659,Happy
gui (104)_0.jpg,2023-04-30 01:10:34.480607,Sad
gui (1040)_0.jpg,2023-04-30 01:10:34.484608,Happy
gui (1041)_0.jpg,2023-04-30 01:10:34.490662,Happy
gui (1042)_0.jpg,2023-04-30 01:10:34.495561,Happy
gui (1045)_0.jpg,2023-04-30 01:10:34.499616,Fear
gui (1046)_0.jpg,2023-04-30 01:10:34.504616,Fear
gui (1046)_1.jpg,2023-04-30 01:10:34.510538,Sad
gui (1047)_0.jpg,2023-04-30 01:10:34.515816,Sad
gui (1047)_1.jpg,2023-04-30 01:10:34.520557,Fear
gui (1048)_0.jpg,2023-04-30 01:10:34.524477,Neutral
gui (1048)_1.jpg,2023-04-30 01:10:34.530321,Fear
gui (1049)_0.jpg,2023-04-30 01:10:34.535501,Angry
gui (1049)_1.jpg,2023-04-30 01:10:34.540217,Neutral
gui (105)_0.jpg,2023-04-30 01:10:34.545218,Angry
gui (1050)_0.jpg,2023-04-30 01:10:34.550219,Neutral
gui (1050)_1.jpg,2023-04-30 01:10:34.555009,Fear
gui (1051)_0.jpg,2023-04-30 01:10:34.560010,Fear
gui (1052)_0.jpg,2023-04-30 01:10:34.564918,Sad
gui (1052)_1.jpg,2023-04-30 01:10:34.569919,Happy
gui (1053)_0.jpg,2023-04-30 01:10:34.575461,Neutral
gui (1054)_0.jpg,2023-04-30 01:10:34.579918,Neutral
gui (1056)_0.jpg,2023-04-30 01:10:34.584922,Fear
gui (1057)_0.jpg,2023-04-30 01:10:34.589927,Neutral
gui (1057)_1.jpg,2023-04-30 01:10:34.595234,Fear
gui (1057)_2.jpg,2023-04-30 01:10:34.599933,Sad
gui (1058)_0.jpg,2023-04-30 01:10:34.604939,Neutral
gui (1059)_0.jpg,2023-04-30 01:10:34.608939,Sad
gui (1059)_1.jpg,2023-04-30 01:10:34.614974,Fear
gui (106)_0.jpg,2023-04-30 01:10:34.619849,Happy
gui (1060)_0.jpg,2023-04-30 01:10:34.624783,Sad
gui (1060)_1.jpg,2023-04-30 01:10:34.629740,Sad
gui (1060)_2.jpg,2023-04-30 01:10:34.634743,Sad
gui (1061)_0.jpg,2023-04-30 01:10:34.639716,Fear
gui (1061)_1.jpg,2023-04-30 01:10:34.644695,Sad
gui (1062)_0.jpg,2023-04-30 01:10:34.649689,Neutral
gui (1062)_1.jpg,2023-04-30 01:10:34.654948,Sad
gui (1062)_2.jpg,2023-04-30 01:10:34.659693,Fear
