Image Name,Time,Emotion
kio (6029)_0.jpg,2023-04-30 01:16:47.905964,Sad
kio (6029)_1.jpg,2023-04-30 01:16:47.910965,Surprise
kio (6029)_2.jpg,2023-04-30 01:16:47.915966,Sad
kio (6029)_3.jpg,2023-04-30 01:16:47.920967,Sad
kio (6029)_4.jpg,2023-04-30 01:16:47.925968,Neutral
kio (603)_0.jpg,2023-04-30 01:16:47.930969,Sad
kio (603)_1.jpg,2023-04-30 01:16:47.935971,Neutral
kio (603)_2.jpg,2023-04-30 01:16:47.940972,Sad
kio (603)_3.jpg,2023-04-30 01:16:47.946973,Sad
kio (6030)_0.jpg,2023-04-30 01:16:47.951975,Neutral
kio (6030)_1.jpg,2023-04-30 01:16:47.956976,Neutral
kio (6030)_2.jpg,2023-04-30 01:16:47.961977,Sad
kio (6030)_3.jpg,2023-04-30 01:16:47.967978,Neutral
kio (6030)_4.jpg,2023-04-30 01:16:47.974979,Neutral
kio (6031)_0.jpg,2023-04-30 01:16:47.980982,Sad
kio (6031)_1.jpg,2023-04-30 01:16:47.986983,Fear
kio (6031)_2.jpg,2023-04-30 01:16:47.992984,Neutral
kio (6031)_3.jpg,2023-04-30 01:16:47.997986,Sad
kio (6031)_4.jpg,2023-04-30 01:16:48.002986,Sad
kio (6031)_5.jpg,2023-04-30 01:16:48.007987,Neutral
kio (6031)_6.jpg,2023-04-30 01:16:48.013988,Sad
kio (6032)_0.jpg,2023-04-30 01:16:48.017989,Sad
kio (6032)_1.jpg,2023-04-30 01:16:48.022990,Neutral
kio (6032)_2.jpg,2023-04-30 01:16:48.027992,Sad
kio (6032)_3.jpg,2023-04-30 01:16:48.032993,Sad
kio (6032)_4.jpg,2023-04-30 01:16:48.037994,Neutral
kio (6032)_5.jpg,2023-04-30 01:16:48.042987,Sad
kio (6032)_6.jpg,2023-04-30 01:16:48.047988,Neutral
kio (6033)_0.jpg,2023-04-30 01:16:48.052989,Sad
kio (6033)_1.jpg,2023-04-30 01:16:48.058994,Fear
kio (6033)_2.jpg,2023-04-30 01:16:48.062999,Neutral
kio (6033)_3.jpg,2023-04-30 01:16:48.068000,Neutral
kio (6033)_4.jpg,2023-04-30 01:16:48.073001,Neutral
kio (6033)_5.jpg,2023-04-30 01:16:48.078305,Sad
kio (6033)_6.jpg,2023-04-30 01:16:48.082306,Neutral
kio (6034)_0.jpg,2023-04-30 01:16:48.088128,Neutral
kio (6034)_1.jpg,2023-04-30 01:16:48.093631,Sad
kio (6034)_2.jpg,2023-04-30 01:16:48.098634,Sad
kio (6034)_3.jpg,2023-04-30 01:16:48.103397,Neutral
kio (6034)_4.jpg,2023-04-30 01:16:48.108398,Sad
kio (6034)_5.jpg,2023-04-30 01:16:48.114301,Neutral
kio (6035)_0.jpg,2023-04-30 01:16:48.119218,Neutral
kio (6035)_1.jpg,2023-04-30 01:16:48.124219,Sad
kio (6035)_2.jpg,2023-04-30 01:16:48.129066,Sad
kio (6035)_3.jpg,2023-04-30 01:16:48.133223,Neutral
kio (6035)_4.jpg,2023-04-30 01:16:48.138225,Sad
kio (6035)_5.jpg,2023-04-30 01:16:48.143168,Sad
kio (6036)_0.jpg,2023-04-30 01:16:48.148819,Sad
kio (6036)_1.jpg,2023-04-30 01:16:48.153821,Sad
kio (6036)_2.jpg,2023-04-30 01:16:48.158828,Neutral
kio (6036)_3.jpg,2023-04-30 01:16:48.162832,Sad
kio (6036)_4.jpg,2023-04-30 01:16:48.167834,Sad
kio (6037)_0.jpg,2023-04-30 01:16:48.172835,Sad
kio (6037)_1.jpg,2023-04-30 01:16:48.177707,Sad
kio (6037)_2.jpg,2023-04-30 01:16:48.183547,Fear
kio (6037)_3.jpg,2023-04-30 01:16:48.188547,Fear
kio (6037)_4.jpg,2023-04-30 01:16:48.193554,Sad
kio (6037)_5.jpg,2023-04-30 01:16:48.198502,Sad
kio (6037)_6.jpg,2023-04-30 01:16:48.203507,Sad
kio (6037)_7.jpg,2023-04-30 01:16:48.208832,Neutral
kio (6038)_0.jpg,2023-04-30 01:16:48.213778,Fear
kio (6038)_1.jpg,2023-04-30 01:16:48.217836,Sad
kio (6038)_2.jpg,2023-04-30 01:16:48.223317,Neutral
kio (6038)_3.jpg,2023-04-30 01:16:48.228554,Sad
kio (6038)_4.jpg,2023-04-30 01:16:48.233555,Sad
kio (6038)_5.jpg,2023-04-30 01:16:48.238556,Sad
kio (6039)_0.jpg,2023-04-30 01:16:48.243550,Fear
kio (6039)_1.jpg,2023-04-30 01:16:48.248431,Sad
kio (6039)_2.jpg,2023-04-30 01:16:48.253150,Neutral
kio (6039)_3.jpg,2023-04-30 01:16:48.258923,Neutral
kio (6039)_4.jpg,2023-04-30 01:16:48.263931,Sad
kio (6039)_5.jpg,2023-04-30 01:16:48.268840,Sad
kio (6039)_6.jpg,2023-04-30 01:16:48.272775,Fear
kio (6039)_7.jpg,2023-04-30 01:16:48.278776,Sad
kio (604)_0.jpg,2023-04-30 01:16:48.282777,Sad
kio (604)_1.jpg,2023-04-30 01:16:48.287779,Sad
kio (604)_2.jpg,2023-04-30 01:16:48.293780,Neutral
kio (604)_3.jpg,2023-04-30 01:16:48.299926,Sad
kio (604)_4.jpg,2023-04-30 01:16:48.304385,Neutral
kio (6040)_0.jpg,2023-04-30 01:16:48.310324,Fear
kio (6040)_1.jpg,2023-04-30 01:16:48.315610,Sad
kio (6040)_2.jpg,2023-04-30 01:16:48.320408,Sad
kio (6040)_3.jpg,2023-04-30 01:16:48.325272,Neutral
kio (6040)_4.jpg,2023-04-30 01:16:48.329161,Neutral
kio (6040)_5.jpg,2023-04-30 01:16:48.335030,Fear
kio (6040)_6.jpg,2023-04-30 01:16:48.338937,Sad
kio (6041)_0.jpg,2023-04-30 01:16:48.344878,Sad
kio (6041)_1.jpg,2023-04-30 01:16:48.349879,Neutral
kio (6041)_2.jpg,2023-04-30 01:16:48.354880,Neutral
kio (6041)_3.jpg,2023-04-30 01:16:48.360696,Sad
kio (6041)_4.jpg,2023-04-30 01:16:48.364698,Neutral
kio (6042)_0.jpg,2023-04-30 01:16:48.370699,Neutral
kio (6042)_1.jpg,2023-04-30 01:16:48.375700,Sad
kio (6042)_2.jpg,2023-04-30 01:16:48.380705,Sad
kio (6042)_3.jpg,2023-04-30 01:16:48.385706,Fear
kio (6042)_4.jpg,2023-04-30 01:16:48.390714,Neutral
kio (6042)_5.jpg,2023-04-30 01:16:48.395689,Fear
kio (6042)_6.jpg,2023-04-30 01:16:48.400694,Sad
