Image Name,Time,Emotion
img4 (3780).jpg,2023-04-30 01:14:28.738907,Sad
img4 (3781).jpg,2023-04-30 01:14:28.743908,Sad
img4 (3782).jpg,2023-04-30 01:14:28.747909,Happy
img4 (3783).jpg,2023-04-30 01:14:28.752910,Sad
img4 (3784).jpg,2023-04-30 01:14:28.758912,Sad
img4 (3785).jpg,2023-04-30 01:14:28.763913,Sad
img4 (3786).jpg,2023-04-30 01:14:28.768914,Sad
img4 (3787).jpg,2023-04-30 01:14:28.773916,Sad
img4 (3788).jpg,2023-04-30 01:14:28.779916,Happy
img4 (3789).jpg,2023-04-30 01:14:28.785918,Neutral
img4 (379).jpg,2023-04-30 01:14:28.791919,Sad
img4 (3790).jpg,2023-04-30 01:14:28.796921,Sad
img4 (3791).jpg,2023-04-30 01:14:28.801921,Happy
img4 (3792).jpg,2023-04-30 01:14:28.806923,Neutral
img4 (3793).jpg,2023-04-30 01:14:28.811924,Sad
img4 (3794).jpg,2023-04-30 01:14:28.815925,Sad
img4 (3795).jpg,2023-04-30 01:14:28.820926,Sad
img4 (3796).jpg,2023-04-30 01:14:28.825928,Sad
img4 (3797).jpg,2023-04-30 01:14:28.830923,Sad
img4 (3798).jpg,2023-04-30 01:14:28.836048,Sad
img4 (3799).jpg,2023-04-30 01:14:28.839986,Neutral
img4 (38).jpg,2023-04-30 01:14:28.844987,Sad
img4 (380).jpg,2023-04-30 01:14:28.849988,Sad
img4 (3800).jpg,2023-04-30 01:14:28.854991,Fear
img4 (3801).jpg,2023-04-30 01:14:28.859672,Fear
img4 (3802).jpg,2023-04-30 01:14:28.864673,Sad
img4 (3803).jpg,2023-04-30 01:14:28.869044,Neutral
img4 (3804).jpg,2023-04-30 01:14:28.874045,Sad
img4 (3805).jpg,2023-04-30 01:14:28.879746,Sad
img4 (3806).jpg,2023-04-30 01:14:28.883513,Sad
img4 (3807).jpg,2023-04-30 01:14:28.888634,Sad
img4 (3808).jpg,2023-04-30 01:14:28.892779,Fear
img4 (3809).jpg,2023-04-30 01:14:28.897660,Fear
img4 (381).jpg,2023-04-30 01:14:28.903659,Sad
img4 (3810).jpg,2023-04-30 01:14:28.907660,Sad
img4 (3811).jpg,2023-04-30 01:14:28.912661,Sad
img4 (3812).jpg,2023-04-30 01:14:28.917662,Fear
img4 (3813).jpg,2023-04-30 01:14:28.923395,Neutral
img4 (3814).jpg,2023-04-30 01:14:28.927406,Sad
img4 (3815).jpg,2023-04-30 01:14:28.932408,Fear
img4 (3816).jpg,2023-04-30 01:14:28.936760,Neutral
img4 (3817).jpg,2023-04-30 01:14:28.941147,Neutral
img4 (3818).jpg,2023-04-30 01:14:28.947152,Sad
