Image Name,Time,Emotion
img4 (489).jpg,2023-04-30 01:14:35.106069,Sad
img4 (4890).jpg,2023-04-30 01:14:35.110370,Fear
img4 (4891).jpg,2023-04-30 01:14:35.115371,Sad
img4 (4892).jpg,2023-04-30 01:14:35.120372,Neutral
img4 (4893).jpg,2023-04-30 01:14:35.125243,Sad
img4 (4894).jpg,2023-04-30 01:14:35.130244,Neutral
img4 (4895).jpg,2023-04-30 01:14:35.134873,Fear
img4 (4896).jpg,2023-04-30 01:14:35.139559,Happy
img4 (4897).jpg,2023-04-30 01:14:35.144224,Neutral
img4 (4898).jpg,2023-04-30 01:14:35.148990,Angry
img4 (4899).jpg,2023-04-30 01:14:35.153651,Sad
img4 (49).jpg,2023-04-30 01:14:35.158652,Sad
img4 (490).jpg,2023-04-30 01:14:35.163653,Sad
img4 (4900).jpg,2023-04-30 01:14:35.167654,Sad
img4 (4901).jpg,2023-04-30 01:14:35.172523,Neutral
img4 (4902).jpg,2023-04-30 01:14:35.177525,Sad
img4 (4903).jpg,2023-04-30 01:14:35.182526,Neutral
img4 (4904).jpg,2023-04-30 01:14:35.188319,Sad
img4 (4905).jpg,2023-04-30 01:14:35.192247,Sad
img4 (4906).jpg,2023-04-30 01:14:35.196895,Neutral
img4 (4907).jpg,2023-04-30 01:14:35.201607,Sad
img4 (4908).jpg,2023-04-30 01:14:35.207275,Sad
img4 (4909).jpg,2023-04-30 01:14:35.211080,Sad
img4 (491).jpg,2023-04-30 01:14:35.215876,Fear
img4 (4910).jpg,2023-04-30 01:14:35.220877,Sad
img4 (4911).jpg,2023-04-30 01:14:35.225861,Neutral
img4 (4912).jpg,2023-04-30 01:14:35.230862,Sad
img4 (4913).jpg,2023-04-30 01:14:35.235494,Neutral
img4 (4914).jpg,2023-04-30 01:14:35.240494,Sad
img4 (4915).jpg,2023-04-30 01:14:35.245496,Sad
img4 (4916).jpg,2023-04-30 01:14:35.250500,Sad
img4 (4917).jpg,2023-04-30 01:14:35.255122,Sad
img4 (4918).jpg,2023-04-30 01:14:35.259946,Sad
img4 (4919).jpg,2023-04-30 01:14:35.264616,Sad
img4 (492).jpg,2023-04-30 01:14:35.269618,Neutral
img4 (4920).jpg,2023-04-30 01:14:35.274621,Sad
img4 (4921).jpg,2023-04-30 01:14:35.279611,Sad
img4 (4922).jpg,2023-04-30 01:14:35.284612,Sad
img4 (4923).jpg,2023-04-30 01:14:35.289616,Sad
img4 (4924).jpg,2023-04-30 01:14:35.294616,Neutral
img4 (4925).jpg,2023-04-30 01:14:35.299587,Sad
img4 (4926).jpg,2023-04-30 01:14:35.303587,Neutral
img4 (4927).jpg,2023-04-30 01:14:35.308589,Sad
img4 (4928).jpg,2023-04-30 01:14:35.313497,Sad
img4 (4929).jpg,2023-04-30 01:14:35.318323,Sad
img4 (493).jpg,2023-04-30 01:14:35.322994,Sad
img4 (4930).jpg,2023-04-30 01:14:35.327663,Sad
img4 (4931).jpg,2023-04-30 01:14:35.332599,Sad
img4 (4932).jpg,2023-04-30 01:14:35.337600,Neutral
img4 (4933).jpg,2023-04-30 01:14:35.342602,Sad
img4 (4934).jpg,2023-04-30 01:14:35.347604,Sad
img4 (4935).jpg,2023-04-30 01:14:35.352607,Sad
img4 (4936).jpg,2023-04-30 01:14:35.356607,Fear
img4 (4937).jpg,2023-04-30 01:14:35.362033,Sad
img4 (4938).jpg,2023-04-30 01:14:35.366764,Sad
img4 (4939).jpg,2023-04-30 01:14:35.371765,Sad
img4 (494).jpg,2023-04-30 01:14:35.376766,Happy
img4 (4940).jpg,2023-04-30 01:14:35.381768,Sad
img4 (4941).jpg,2023-04-30 01:14:35.385769,Angry
img4 (4942).jpg,2023-04-30 01:14:35.390343,Sad
img4 (4943).jpg,2023-04-30 01:14:35.395694,Sad
img4 (4944).jpg,2023-04-30 01:14:35.401572,Fear
img4 (4945).jpg,2023-04-30 01:14:35.405466,Fear
img4 (4946).jpg,2023-04-30 01:14:35.410467,Sad
img4 (4947).jpg,2023-04-30 01:14:35.415463,Neutral
img4 (4948).jpg,2023-04-30 01:14:35.420465,Sad
img4 (4949).jpg,2023-04-30 01:14:35.424429,Sad
img4 (495).jpg,2023-04-30 01:14:35.429216,Fear
img4 (4950).jpg,2023-04-30 01:14:35.434332,Neutral
img4 (4951).jpg,2023-04-30 01:14:35.439118,Sad
img4 (4952).jpg,2023-04-30 01:14:35.445119,Sad
img4 (4953).jpg,2023-04-30 01:14:35.450120,Neutral
img4 (4954).jpg,2023-04-30 01:14:35.454121,Fear
img4 (4955).jpg,2023-04-30 01:14:35.459122,Sad
img4 (4956).jpg,2023-04-30 01:14:35.464123,Sad
img4 (4957).jpg,2023-04-30 01:14:35.469125,Sad
img4 (4958).jpg,2023-04-30 01:14:35.473125,Sad
img4 (4959).jpg,2023-04-30 01:14:35.479127,Neutral
img4 (496).jpg,2023-04-30 01:14:35.483128,Sad
img4 (4960).jpg,2023-04-30 01:14:35.488129,Neutral
img4 (4961).jpg,2023-04-30 01:14:35.493130,Neutral
img4 (4962).jpg,2023-04-30 01:14:35.498131,Sad
img4 (4963).jpg,2023-04-30 01:14:35.502132,Neutral
img4 (4964).jpg,2023-04-30 01:14:35.507133,Sad
img4 (4965).jpg,2023-04-30 01:14:35.512135,Sad
img4 (4966).jpg,2023-04-30 01:14:35.517135,Neutral
img4 (4967).jpg,2023-04-30 01:14:35.523137,Sad
img4 (4968).jpg,2023-04-30 01:14:35.527138,Sad
img4 (4969).jpg,2023-04-30 01:14:35.532139,Sad
img4 (497).jpg,2023-04-30 01:14:35.537140,Sad
img4 (4970).jpg,2023-04-30 01:14:35.542143,Sad
img4 (4971).jpg,2023-04-30 01:14:35.548143,Sad
img4 (4972).jpg,2023-04-30 01:14:35.554144,Sad
img4 (4973).jpg,2023-04-30 01:14:35.559145,Neutral
img4 (4974).jpg,2023-04-30 01:14:35.564147,Fear
img4 (4975).jpg,2023-04-30 01:14:35.569147,Neutral
img4 (4976).jpg,2023-04-30 01:14:35.573148,Neutral
img4 (4977).jpg,2023-04-30 01:14:35.579149,Sad
img4 (4978).jpg,2023-04-30 01:14:35.583150,Sad
img4 (4979).jpg,2023-04-30 01:14:35.588847,Sad
img4 (498).jpg,2023-04-30 01:14:35.593693,Sad
img4 (4980).jpg,2023-04-30 01:14:35.597742,Sad
img4 (4981).jpg,2023-04-30 01:14:35.602743,Sad
img4 (4982).jpg,2023-04-30 01:14:35.607254,Neutral
img4 (4983).jpg,2023-04-30 01:14:35.612747,Neutral
img4 (4984).jpg,2023-04-30 01:14:35.617021,Happy
img4 (4985).jpg,2023-04-30 01:14:35.623022,Sad
img4 (4986).jpg,2023-04-30 01:14:35.626791,Neutral
img4 (4987).jpg,2023-04-30 01:14:35.631792,Neutral
img4 (4988).jpg,2023-04-30 01:14:35.636793,Sad
img4 (4989).jpg,2023-04-30 01:14:35.642097,Sad
img4 (499).jpg,2023-04-30 01:14:35.647374,Sad
img4 (4990).jpg,2023-04-30 01:14:35.651287,Sad
img4 (4991).jpg,2023-04-30 01:14:35.657291,Sad
img4 (4992).jpg,2023-04-30 01:14:35.661292,Sad
img4 (4993).jpg,2023-04-30 01:14:35.666836,Fear
img4 (4994).jpg,2023-04-30 01:14:35.670839,Neutral
img4 (4995).jpg,2023-04-30 01:14:35.675840,Sad
img4 (4996).jpg,2023-04-30 01:14:35.680843,Neutral
img4 (4997).jpg,2023-04-30 01:14:35.685843,Sad
img4 (4998).jpg,2023-04-30 01:14:35.690849,Happy
img4 (4999).jpg,2023-04-30 01:14:35.695850,Sad
img4 (5).jpg,2023-04-30 01:14:35.699852,Sad
img4 (50).jpg,2023-04-30 01:14:35.704852,Neutral
img4 (500).jpg,2023-04-30 01:14:35.709855,Sad
img4 (5000).jpg,2023-04-30 01:14:35.714567,Neutral
img4 (5001).jpg,2023-04-30 01:14:35.720325,Fear
img4 (5002).jpg,2023-04-30 01:14:35.725326,Angry
img4 (5003).jpg,2023-04-30 01:14:35.730528,Sad
img4 (5004).jpg,2023-04-30 01:14:35.735532,Sad
img4 (5005).jpg,2023-04-30 01:14:35.739533,Sad
img4 (5006).jpg,2023-04-30 01:14:35.744534,Sad
img4 (5007).jpg,2023-04-30 01:14:35.749815,Sad
img4 (5008).jpg,2023-04-30 01:14:35.754682,Sad
img4 (5009).jpg,2023-04-30 01:14:35.758683,Neutral
img4 (501).jpg,2023-04-30 01:14:35.764180,Angry
img4 (5010).jpg,2023-04-30 01:14:35.769181,Angry
img4 (5011).jpg,2023-04-30 01:14:35.773185,Fear
img4 (5012).jpg,2023-04-30 01:14:35.778186,Sad
img4 (5013).jpg,2023-04-30 01:14:35.782644,Sad
img4 (5014).jpg,2023-04-30 01:14:35.788190,Sad
img4 (5015).jpg,2023-04-30 01:14:35.794668,Sad
img4 (5016).jpg,2023-04-30 01:14:35.799405,Happy
img4 (5017).jpg,2023-04-30 01:14:35.804157,Sad
img4 (5018).jpg,2023-04-30 01:14:35.808158,Sad
img4 (5019).jpg,2023-04-30 01:14:35.812980,Fear
img4 (502).jpg,2023-04-30 01:14:35.817981,Sad
img4 (5020).jpg,2023-04-30 01:14:35.822983,Neutral
img4 (5021).jpg,2023-04-30 01:14:35.827638,Sad
img4 (5022).jpg,2023-04-30 01:14:35.832639,Sad
img4 (5023).jpg,2023-04-30 01:14:35.837323,Sad
img4 (5024).jpg,2023-04-30 01:14:35.842202,Sad
img4 (5025).jpg,2023-04-30 01:14:35.847625,Sad
img4 (5026).jpg,2023-04-30 01:14:35.851626,Sad
img4 (5027).jpg,2023-04-30 01:14:35.856404,Sad
img4 (5028).jpg,2023-04-30 01:14:35.861405,Fear
img4 (5029).jpg,2023-04-30 01:14:35.867074,Sad
img4 (503).jpg,2023-04-30 01:14:35.871858,Happy
img4 (5030).jpg,2023-04-30 01:14:35.875859,Sad
img4 (5031).jpg,2023-04-30 01:14:35.881860,Sad
img4 (5032).jpg,2023-04-30 01:14:35.886862,Angry
img4 (5033).jpg,2023-04-30 01:14:35.890550,Sad
img4 (5034).jpg,2023-04-30 01:14:35.895736,Sad
img4 (5035).jpg,2023-04-30 01:14:35.900122,Sad
img4 (5036).jpg,2023-04-30 01:14:35.905748,Sad
img4 (5037).jpg,2023-04-30 01:14:35.910709,Sad
img4 (5038).jpg,2023-04-30 01:14:35.915712,Sad
img4 (5039).jpg,2023-04-30 01:14:35.919601,Neutral
img4 (504).jpg,2023-04-30 01:14:35.925603,Fear
img4 (5040).jpg,2023-04-30 01:14:35.930612,Sad
img4 (5041).jpg,2023-04-30 01:14:35.935613,Sad
img4 (5042).jpg,2023-04-30 01:14:35.940447,Fear
img4 (5043).jpg,2023-04-30 01:14:35.945447,Sad
img4 (5044).jpg,2023-04-30 01:14:35.949449,Fear
img4 (5045).jpg,2023-04-30 01:14:35.954920,Sad
img4 (5046).jpg,2023-04-30 01:14:35.959851,Sad
img4 (5047).jpg,2023-04-30 01:14:35.964669,Neutral
img4 (5048).jpg,2023-04-30 01:14:35.969371,Sad
img4 (5049).jpg,2023-04-30 01:14:35.974372,Happy
img4 (505).jpg,2023-04-30 01:14:35.980100,Sad
img4 (5050).jpg,2023-04-30 01:14:35.999374,Fear
img4 (5051).jpg,2023-04-30 01:14:36.004374,Sad
img4 (5052).jpg,2023-04-30 01:14:36.009376,Neutral
img4 (5053).jpg,2023-04-30 01:14:36.014376,Sad
img4 (5054).jpg,2023-04-30 01:14:36.018377,Sad
img4 (5055).jpg,2023-04-30 01:14:36.023378,Sad
img4 (5056).jpg,2023-04-30 01:14:36.028379,Sad
img4 (5057).jpg,2023-04-30 01:14:36.033380,Sad
img4 (5058).jpg,2023-04-30 01:14:36.038381,Neutral
img4 (5059).jpg,2023-04-30 01:14:36.043382,Sad
img4 (506).jpg,2023-04-30 01:14:36.047383,Happy
img4 (5060).jpg,2023-04-30 01:14:36.052384,Sad
img4 (5061).jpg,2023-04-30 01:14:36.057385,Fear
img4 (5062).jpg,2023-04-30 01:14:36.062387,Sad
img4 (5063).jpg,2023-04-30 01:14:36.067388,Sad
img4 (5064).jpg,2023-04-30 01:14:36.072390,Neutral
img4 (5065).jpg,2023-04-30 01:14:36.077390,Fear
img4 (5066).jpg,2023-04-30 01:14:36.081391,Neutral
img4 (5067).jpg,2023-04-30 01:14:36.086393,Neutral
img4 (5068).jpg,2023-04-30 01:14:36.092393,Sad
img4 (5069).jpg,2023-04-30 01:14:36.098395,Sad
img4 (507).jpg,2023-04-30 01:14:36.103396,Sad
img4 (5070).jpg,2023-04-30 01:14:36.108397,Neutral
img4 (5071).jpg,2023-04-30 01:14:36.113398,Sad
img4 (5072).jpg,2023-04-30 01:14:36.118399,Sad
img4 (5073).jpg,2023-04-30 01:14:36.123402,Sad
img4 (5074).jpg,2023-04-30 01:14:36.128402,Sad
img4 (5075).jpg,2023-04-30 01:14:36.133402,Sad
img4 (5076).jpg,2023-04-30 01:14:36.138404,Sad
img4 (5077).jpg,2023-04-30 01:14:36.143228,Sad
img4 (5078).jpg,2023-04-30 01:14:36.147228,Sad
img4 (5079).jpg,2023-04-30 01:14:36.152820,Sad
img4 (508).jpg,2023-04-30 01:14:36.157825,Happy
img4 (5080).jpg,2023-04-30 01:14:36.162827,Neutral
img4 (5081).jpg,2023-04-30 01:14:36.167908,Sad
img4 (5082).jpg,2023-04-30 01:14:36.172174,Sad
img4 (5083).jpg,2023-04-30 01:14:36.177406,Sad
img4 (5084).jpg,2023-04-30 01:14:36.182909,Sad
img4 (5085).jpg,2023-04-30 01:14:36.187648,Sad
img4 (5086).jpg,2023-04-30 01:14:36.191405,Sad
img4 (5087).jpg,2023-04-30 01:14:36.196124,Sad
img4 (5088).jpg,2023-04-30 01:14:36.200871,Sad
img4 (5089).jpg,2023-04-30 01:14:36.206487,Neutral
img4 (509).jpg,2023-04-30 01:14:36.211488,Happy
img4 (5090).jpg,2023-04-30 01:14:36.216490,Sad
img4 (5091).jpg,2023-04-30 01:14:36.220487,Fear
img4 (5092).jpg,2023-04-30 01:14:36.225629,Neutral
img4 (5093).jpg,2023-04-30 01:14:36.230987,Fear
img4 (5094).jpg,2023-04-30 01:14:36.234862,Fear
img4 (5095).jpg,2023-04-30 01:14:36.240449,Sad
img4 (5096).jpg,2023-04-30 01:14:36.245450,Sad
img4 (5097).jpg,2023-04-30 01:14:36.250453,Neutral
img4 (5098).jpg,2023-04-30 01:14:36.255400,Fear
img4 (5099).jpg,2023-04-30 01:14:36.260112,Sad
img4 (51).jpg,2023-04-30 01:14:36.265113,Neutral
img4 (510).jpg,2023-04-30 01:14:36.270117,Sad
img4 (5100).jpg,2023-04-30 01:14:36.275118,Sad
img4 (5101).jpg,2023-04-30 01:14:36.279119,Neutral
img4 (5102).jpg,2023-04-30 01:14:36.284790,Sad
img4 (5103).jpg,2023-04-30 01:14:36.288790,Neutral
img4 (5104).jpg,2023-04-30 01:14:36.293664,Sad
img4 (5105).jpg,2023-04-30 01:14:36.298321,Happy
img4 (5106).jpg,2023-04-30 01:14:36.303322,Sad
img4 (5107).jpg,2023-04-30 01:14:36.307963,Sad
img4 (5108).jpg,2023-04-30 01:14:36.312964,Fear
img4 (5109).jpg,2023-04-30 01:14:36.317966,Sad
img4 (511).jpg,2023-04-30 01:14:36.322625,Happy
img4 (5110).jpg,2023-04-30 01:14:36.327965,Neutral
img4 (5111).jpg,2023-04-30 01:14:36.331836,Sad
img4 (5112).jpg,2023-04-30 01:14:36.337837,Neutral
img4 (5113).jpg,2023-04-30 01:14:36.342838,Sad
img4 (5114).jpg,2023-04-30 01:14:36.347842,Neutral
img4 (5115).jpg,2023-04-30 01:14:36.352845,Happy
img4 (5116).jpg,2023-04-30 01:14:36.357619,Sad
img4 (5117).jpg,2023-04-30 01:14:36.362390,Sad
img4 (5118).jpg,2023-04-30 01:14:36.367391,Sad
img4 (5119).jpg,2023-04-30 01:14:36.372392,Sad
img4 (512).jpg,2023-04-30 01:14:36.376395,Happy
img4 (5120).jpg,2023-04-30 01:14:36.381398,Sad
img4 (5121).jpg,2023-04-30 01:14:36.386326,Neutral
img4 (5122).jpg,2023-04-30 01:14:36.391400,Neutral
img4 (5123).jpg,2023-04-30 01:14:36.396405,Sad
img4 (5124).jpg,2023-04-30 01:14:36.401406,Angry
img4 (5125).jpg,2023-04-30 01:14:36.405407,Sad
img4 (5126).jpg,2023-04-30 01:14:36.410271,Neutral
img4 (5127).jpg,2023-04-30 01:14:36.415028,Neutral
img4 (5128).jpg,2023-04-30 01:14:36.420632,Fear
img4 (5129).jpg,2023-04-30 01:14:36.425468,Sad
img4 (513).jpg,2023-04-30 01:14:36.430469,Sad
img4 (5130).jpg,2023-04-30 01:14:36.435473,Sad
img4 (5131).jpg,2023-04-30 01:14:36.439467,Neutral
img4 (5132).jpg,2023-04-30 01:14:36.444468,Sad
img4 (5133).jpg,2023-04-30 01:14:36.449474,Sad
img4 (5134).jpg,2023-04-30 01:14:36.454475,Sad
