Image Name,Time,Emotion
img4 (5999).jpg,2023-04-30 01:14:41.344412,Fear
img4 (6).jpg,2023-04-30 01:14:41.349003,Sad
img4 (60).jpg,2023-04-30 01:14:41.354004,Sad
img4 (600).jpg,2023-04-30 01:14:41.359096,Sad
img4 (6000).jpg,2023-04-30 01:14:41.365110,Sad
img4 (6001).jpg,2023-04-30 01:14:41.369299,Fear
img4 (6002).jpg,2023-04-30 01:14:41.374644,Fear
img4 (6003).jpg,2023-04-30 01:14:41.379243,Sad
img4 (6004).jpg,2023-04-30 01:14:41.385244,Sad
img4 (6005).jpg,2023-04-30 01:14:41.390245,Sad
img4 (6006).jpg,2023-04-30 01:14:41.394246,Sad
img4 (6007).jpg,2023-04-30 01:14:41.399213,Sad
img4 (6008).jpg,2023-04-30 01:14:41.405214,Sad
img4 (6009).jpg,2023-04-30 01:14:41.410208,Neutral
img4 (601).jpg,2023-04-30 01:14:41.414051,Fear
img4 (6010).jpg,2023-04-30 01:14:41.419333,Neutral
img4 (6011).jpg,2023-04-30 01:14:41.446966,Sad
img4 (6012).jpg,2023-04-30 01:14:41.451967,Sad
img4 (6013).jpg,2023-04-30 01:14:41.456968,Sad
img4 (6014).jpg,2023-04-30 01:14:41.462153,Angry
img4 (6015).jpg,2023-04-30 01:14:41.467006,Fear
img4 (6016).jpg,2023-04-30 01:14:41.470915,Sad
img4 (6017).jpg,2023-04-30 01:14:41.475776,Neutral
img4 (6018).jpg,2023-04-30 01:14:41.481777,Sad
img4 (6019).jpg,2023-04-30 01:14:41.486688,Sad
img4 (602).jpg,2023-04-30 01:14:41.491160,Sad
img4 (6020).jpg,2023-04-30 01:14:41.496721,Neutral
img4 (6021).jpg,2023-04-30 01:14:41.500635,Neutral
img4 (6022).jpg,2023-04-30 01:14:41.505394,Sad
img4 (6023).jpg,2023-04-30 01:14:41.510395,Neutral
img4 (6024).jpg,2023-04-30 01:14:41.515396,Sad
img4 (6025).jpg,2023-04-30 01:14:41.520397,Sad
img4 (6026).jpg,2023-04-30 01:14:41.526026,Sad
img4 (6027).jpg,2023-04-30 01:14:41.530394,Sad
img4 (6028).jpg,2023-04-30 01:14:41.535178,Sad
img4 (6029).jpg,2023-04-30 01:14:41.540962,Sad
img4 (603).jpg,2023-04-30 01:14:41.545058,Sad
img4 (6030).jpg,2023-04-30 01:14:41.551063,Neutral
img4 (6031).jpg,2023-04-30 01:14:41.555868,Happy
img4 (6032).jpg,2023-04-30 01:14:41.559869,Fear
img4 (6033).jpg,2023-04-30 01:14:41.564873,Sad
img4 (6034).jpg,2023-04-30 01:14:41.569878,Sad
img4 (6035).jpg,2023-04-30 01:14:41.574833,Happy
img4 (6036).jpg,2023-04-30 01:14:41.579833,Sad
img4 (6037).jpg,2023-04-30 01:14:41.584834,Fear
img4 (6038).jpg,2023-04-30 01:14:41.588838,Happy
img4 (6039).jpg,2023-04-30 01:14:41.594443,Angry
img4 (604).jpg,2023-04-30 01:14:41.599051,Sad
img4 (6040).jpg,2023-04-30 01:14:41.603767,Sad
img4 (6041).jpg,2023-04-30 01:14:41.608771,Sad
img4 (6042).jpg,2023-04-30 01:14:41.613701,Neutral
img4 (6043).jpg,2023-04-30 01:14:41.618581,Sad
img4 (6044).jpg,2023-04-30 01:14:41.623582,Sad
img4 (6045).jpg,2023-04-30 01:14:41.627585,Angry
img4 (6046).jpg,2023-04-30 01:14:41.632446,Sad
img4 (6047).jpg,2023-04-30 01:14:41.638701,Sad
img4 (6048).jpg,2023-04-30 01:14:41.642702,Sad
img4 (6049).jpg,2023-04-30 01:14:41.648703,Neutral
img4 (605).jpg,2023-04-30 01:14:41.652704,Sad
img4 (6050).jpg,2023-04-30 01:14:41.657705,Sad
img4 (6051).jpg,2023-04-30 01:14:41.662706,Happy
img4 (6052).jpg,2023-04-30 01:14:41.667707,Sad
