Image Name,Time,Emotion
img4 (7106).jpg,2023-04-30 01:14:47.450285,Sad
img4 (7107).jpg,2023-04-30 01:14:47.454287,Sad
img4 (7108).jpg,2023-04-30 01:14:47.459675,Sad
img4 (7109).jpg,2023-04-30 01:14:47.463568,Sad
img4 (711).jpg,2023-04-30 01:14:47.469008,Sad
img4 (7110).jpg,2023-04-30 01:14:47.474009,Sad
img4 (7111).jpg,2023-04-30 01:14:47.479010,Sad
img4 (7112).jpg,2023-04-30 01:14:47.483219,Sad
img4 (7113).jpg,2023-04-30 01:14:47.488220,Fear
img4 (7114).jpg,2023-04-30 01:14:47.492520,Sad
img4 (7115).jpg,2023-04-30 01:14:47.498234,Sad
img4 (7116).jpg,2023-04-30 01:14:47.503048,Neutral
img4 (7117).jpg,2023-04-30 01:14:47.506793,Sad
img4 (7118).jpg,2023-04-30 01:14:47.511545,Sad
img4 (7119).jpg,2023-04-30 01:14:47.517364,Happy
img4 (712).jpg,2023-04-30 01:14:47.521366,Sad
img4 (7120).jpg,2023-04-30 01:14:47.525942,Fear
img4 (7121).jpg,2023-04-30 01:14:47.532056,Sad
img4 (7122).jpg,2023-04-30 01:14:47.537057,Sad
img4 (7123).jpg,2023-04-30 01:14:47.541482,Fear
img4 (7124).jpg,2023-04-30 01:14:47.546206,Sad
img4 (7125).jpg,2023-04-30 01:14:47.551127,Sad
img4 (7126).jpg,2023-04-30 01:14:47.555757,Sad
img4 (7127).jpg,2023-04-30 01:14:47.560797,Sad
img4 (7128).jpg,2023-04-30 01:14:47.565798,Neutral
img4 (7129).jpg,2023-04-30 01:14:47.570715,Sad
img4 (713).jpg,2023-04-30 01:14:47.574716,Neutral
img4 (7130).jpg,2023-04-30 01:14:47.579055,Fear
img4 (7131).jpg,2023-04-30 01:14:47.584720,Sad
img4 (7132).jpg,2023-04-30 01:14:47.589724,Sad
img4 (7133).jpg,2023-04-30 01:14:47.593557,Neutral
img4 (7134).jpg,2023-04-30 01:14:47.598558,Sad
img4 (7135).jpg,2023-04-30 01:14:47.603560,Sad
img4 (7136).jpg,2023-04-30 01:14:47.608417,Neutral
