Image Name,Time,Emotion
img4 (8215).jpg,2023-04-30 01:14:53.661674,Sad
img4 (8216).jpg,2023-04-30 01:14:53.666676,Neutral
img4 (8217).jpg,2023-04-30 01:14:53.671677,Sad
img4 (8218).jpg,2023-04-30 01:14:53.676678,Sad
img4 (8219).jpg,2023-04-30 01:14:53.681679,Sad
img4 (822).jpg,2023-04-30 01:14:53.686682,Sad
img4 (8220).jpg,2023-04-30 01:14:53.691684,Sad
img4 (8221).jpg,2023-04-30 01:14:53.697685,Sad
img4 (8222).jpg,2023-04-30 01:14:53.702686,Sad
img4 (8223).jpg,2023-04-30 01:14:53.707687,Sad
img4 (8224).jpg,2023-04-30 01:14:53.712571,Neutral
img4 (8225).jpg,2023-04-30 01:14:53.718198,Sad
img4 (8226).jpg,2023-04-30 01:14:53.723203,Sad
img4 (8227).jpg,2023-04-30 01:14:53.728210,Neutral
img4 (8228).jpg,2023-04-30 01:14:53.732185,Sad
img4 (8229).jpg,2023-04-30 01:14:53.737186,Sad
img4 (823).jpg,2023-04-30 01:14:53.742187,Neutral
img4 (8230).jpg,2023-04-30 01:14:53.747189,Sad
img4 (8231).jpg,2023-04-30 01:14:53.753192,Neutral
img4 (8232).jpg,2023-04-30 01:14:53.757417,Sad
img4 (8233).jpg,2023-04-30 01:14:53.762358,Sad
img4 (8234).jpg,2023-04-30 01:14:53.768085,Sad
img4 (8235).jpg,2023-04-30 01:14:53.772578,Neutral
img4 (8236).jpg,2023-04-30 01:14:53.778473,Sad
img4 (8237).jpg,2023-04-30 01:14:53.782414,Neutral
img4 (8238).jpg,2023-04-30 01:14:53.787415,Neutral
img4 (8239).jpg,2023-04-30 01:14:53.792416,Sad
img4 (824).jpg,2023-04-30 01:14:53.797418,Fear
img4 (8240).jpg,2023-04-30 01:14:53.802418,Happy
img4 (8241).jpg,2023-04-30 01:14:53.809667,Fear
img4 (8242).jpg,2023-04-30 01:14:53.814423,Sad
img4 (8243).jpg,2023-04-30 01:14:53.819359,Sad
img4 (8244).jpg,2023-04-30 01:14:53.824362,Sad
img4 (8245).jpg,2023-04-30 01:14:53.829367,Sad
img4 (8246).jpg,2023-04-30 01:14:53.834370,Sad
img4 (8247).jpg,2023-04-30 01:14:53.839370,Sad
img4 (8248).jpg,2023-04-30 01:14:53.844125,Sad
img4 (8249).jpg,2023-04-30 01:14:53.850354,Sad
img4 (825).jpg,2023-04-30 01:14:53.854364,Sad
img4 (8250).jpg,2023-04-30 01:14:53.860168,Sad
img4 (8251).jpg,2023-04-30 01:14:53.864168,Sad
img4 (8252).jpg,2023-04-30 01:14:53.869170,Neutral
img4 (8253).jpg,2023-04-30 01:14:53.874090,Sad
img4 (8254).jpg,2023-04-30 01:14:53.880091,Happy
img4 (8255).jpg,2023-04-30 01:14:53.885253,Sad
img4 (8256).jpg,2023-04-30 01:14:53.890095,Sad
img4 (8257).jpg,2023-04-30 01:14:53.894215,Happy
img4 (8258).jpg,2023-04-30 01:14:53.900085,Sad
img4 (8259).jpg,2023-04-30 01:14:53.904032,Fear
img4 (826).jpg,2023-04-30 01:14:53.909041,Sad
