Image Name,Time,Emotion
kio (2425)_1.jpg,2023-04-30 01:15:27.802953,Sad
kio (2425)_2.jpg,2023-04-30 01:15:27.807954,Sad
kio (2425)_3.jpg,2023-04-30 01:15:27.812955,Neutral
kio (2426)_0.jpg,2023-04-30 01:15:27.818916,Neutral
kio (2426)_1.jpg,2023-04-30 01:15:27.822952,Sad
kio (2426)_2.jpg,2023-04-30 01:15:27.828092,Neutral
kio (2426)_3.jpg,2023-04-30 01:15:27.833025,Fear
kio (2426)_4.jpg,2023-04-30 01:15:27.838856,Fear
kio (2427)_0.jpg,2023-04-30 01:15:27.842857,Sad
kio (2427)_1.jpg,2023-04-30 01:15:27.847858,Happy
kio (2427)_2.jpg,2023-04-30 01:15:27.852859,Sad
kio (2427)_3.jpg,2023-04-30 01:15:27.857861,Neutral
kio (2427)_4.jpg,2023-04-30 01:15:27.862862,Happy
kio (2428)_0.jpg,2023-04-30 01:15:27.869562,Sad
kio (2428)_1.jpg,2023-04-30 01:15:27.873564,Neutral
kio (2428)_2.jpg,2023-04-30 01:15:27.878452,Neutral
kio (2429)_0.jpg,2023-04-30 01:15:27.884456,Sad
kio (2429)_1.jpg,2023-04-30 01:15:27.889458,Fear
kio (2432)_0.jpg,2023-04-30 01:15:27.894462,Sad
kio (2434)_0.jpg,2023-04-30 01:15:27.899463,Fear
kio (2435)_0.jpg,2023-04-30 01:15:27.904464,Happy
kio (2436)_0.jpg,2023-04-30 01:15:27.909790,Sad
kio (2437)_0.jpg,2023-04-30 01:15:27.914204,Angry
kio (2437)_1.jpg,2023-04-30 01:15:27.918684,Neutral
kio (2437)_2.jpg,2023-04-30 01:15:27.924685,Neutral
kio (2438)_0.jpg,2023-04-30 01:15:27.928686,Fear
kio (2438)_1.jpg,2023-04-30 01:15:27.933589,Neutral
kio (2438)_2.jpg,2023-04-30 01:15:27.939901,Fear
kio (2438)_3.jpg,2023-04-30 01:15:27.943873,Sad
kio (2440)_0.jpg,2023-04-30 01:15:27.949726,Neutral
kio (2441)_0.jpg,2023-04-30 01:15:27.954669,Sad
kio (2442)_0.jpg,2023-04-30 01:15:27.959672,Neutral
kio (2443)_0.jpg,2023-04-30 01:15:27.964676,Fear
kio (2444)_0.jpg,2023-04-30 01:15:27.969677,Sad
kio (2444)_1.jpg,2023-04-30 01:15:27.974602,Sad
kio (2444)_2.jpg,2023-04-30 01:15:27.979604,Angry
kio (2444)_3.jpg,2023-04-30 01:15:27.985605,Sad
kio (2445)_0.jpg,2023-04-30 01:15:27.990606,Sad
kio (2445)_1.jpg,2023-04-30 01:15:27.996010,Sad
kio (2446)_0.jpg,2023-04-30 01:15:27.999866,Sad
kio (2447)_0.jpg,2023-04-30 01:15:28.004686,Sad
kio (2447)_1.jpg,2023-04-30 01:15:28.009687,Happy
kio (2448)_0.jpg,2023-04-30 01:15:28.014688,Sad
kio (2449)_0.jpg,2023-04-30 01:15:28.019689,Happy
kio (2450)_0.jpg,2023-04-30 01:15:28.024366,Neutral
kio (2450)_1.jpg,2023-04-30 01:15:28.029615,Sad
kio (2450)_2.jpg,2023-04-30 01:15:28.034911,Sad
kio (2451)_0.jpg,2023-04-30 01:15:28.039912,Sad
kio (2453)_0.jpg,2023-04-30 01:15:28.044914,Neutral
kio (2456)_0.jpg,2023-04-30 01:15:28.049915,Sad
