Image Name,Time,Emotion
kio (5431)_6.jpg,2023-04-30 01:16:27.881176,Sad
kio (5431)_7.jpg,2023-04-30 01:16:27.886177,Sad
kio (5432)_0.jpg,2023-04-30 01:16:27.891178,Sad
kio (5432)_1.jpg,2023-04-30 01:16:27.896179,Neutral
kio (5432)_2.jpg,2023-04-30 01:16:27.900699,Sad
kio (5432)_3.jpg,2023-04-30 01:16:27.906183,Sad
kio (5432)_4.jpg,2023-04-30 01:16:27.910160,Sad
kio (5432)_5.jpg,2023-04-30 01:16:27.916012,Sad
kio (5432)_6.jpg,2023-04-30 01:16:27.921012,Fear
kio (5432)_7.jpg,2023-04-30 01:16:27.924955,Happy
kio (5432)_8.jpg,2023-04-30 01:16:27.929893,Neutral
kio (5433)_0.jpg,2023-04-30 01:16:27.934554,Sad
kio (5433)_1.jpg,2023-04-30 01:16:27.939331,Fear
kio (5433)_2.jpg,2023-04-30 01:16:27.944090,Sad
kio (5433)_3.jpg,2023-04-30 01:16:27.949091,Sad
kio (5433)_4.jpg,2023-04-30 01:16:27.954092,Sad
kio (5433)_5.jpg,2023-04-30 01:16:27.959094,Sad
kio (5433)_6.jpg,2023-04-30 01:16:27.963889,Sad
kio (5434)_0.jpg,2023-04-30 01:16:27.969086,Sad
kio (5434)_1.jpg,2023-04-30 01:16:27.974025,Sad
kio (5434)_2.jpg,2023-04-30 01:16:27.978025,Sad
kio (5434)_3.jpg,2023-04-30 01:16:27.984112,Sad
kio (5434)_4.jpg,2023-04-30 01:16:27.988928,Fear
kio (5435)_0.jpg,2023-04-30 01:16:27.992929,Neutral
kio (5435)_1.jpg,2023-04-30 01:16:27.998499,Neutral
kio (5435)_2.jpg,2023-04-30 01:16:28.002500,Sad
kio (5435)_3.jpg,2023-04-30 01:16:28.007501,Fear
kio (5436)_0.jpg,2023-04-30 01:16:28.012502,Sad
kio (5436)_1.jpg,2023-04-30 01:16:28.017503,Sad
kio (5436)_2.jpg,2023-04-30 01:16:28.022506,Neutral
kio (5436)_3.jpg,2023-04-30 01:16:28.027513,Sad
kio (5436)_4.jpg,2023-04-30 01:16:28.032508,Sad
kio (5436)_5.jpg,2023-04-30 01:16:28.036509,Happy
kio (5437)_0.jpg,2023-04-30 01:16:28.041293,Sad
kio (5437)_1.jpg,2023-04-30 01:16:28.046131,Sad
kio (5437)_2.jpg,2023-04-30 01:16:28.052124,Sad
kio (5437)_3.jpg,2023-04-30 01:16:28.057125,Neutral
kio (5437)_4.jpg,2023-04-30 01:16:28.062129,Sad
kio (5437)_5.jpg,2023-04-30 01:16:28.067133,Happy
kio (5438)_0.jpg,2023-04-30 01:16:28.072134,Sad
kio (5438)_1.jpg,2023-04-30 01:16:28.077135,Neutral
kio (5438)_2.jpg,2023-04-30 01:16:28.081872,Sad
kio (5438)_3.jpg,2023-04-30 01:16:28.085873,Sad
kio (5438)_4.jpg,2023-04-30 01:16:28.090772,Neutral
kio (5438)_5.jpg,2023-04-30 01:16:28.095773,Sad
kio (5439)_0.jpg,2023-04-30 01:16:28.100567,Sad
kio (5439)_1.jpg,2023-04-30 01:16:28.105776,Neutral
kio (5439)_2.jpg,2023-04-30 01:16:28.110780,Neutral
kio (5439)_3.jpg,2023-04-30 01:16:28.115779,Neutral
kio (5439)_4.jpg,2023-04-30 01:16:28.120780,Sad
kio (5439)_5.jpg,2023-04-30 01:16:28.125781,Fear
kio (5439)_6.jpg,2023-04-30 01:16:28.129784,Happy
kio (5440)_0.jpg,2023-04-30 01:16:28.134785,Neutral
kio (5440)_1.jpg,2023-04-30 01:16:28.139786,Sad
kio (5440)_2.jpg,2023-04-30 01:16:28.144787,Sad
kio (5440)_3.jpg,2023-04-30 01:16:28.150007,Sad
kio (5440)_4.jpg,2023-04-30 01:16:28.153790,Sad
kio (5440)_5.jpg,2023-04-30 01:16:28.158459,Neutral
kio (5441)_0.jpg,2023-04-30 01:16:28.164173,Sad
kio (5441)_1.jpg,2023-04-30 01:16:28.169147,Sad
kio (5441)_2.jpg,2023-04-30 01:16:28.173847,Sad
kio (5441)_3.jpg,2023-04-30 01:16:28.179852,Sad
kio (5441)_4.jpg,2023-04-30 01:16:28.184856,Neutral
kio (5441)_5.jpg,2023-04-30 01:16:28.188852,Neutral
kio (5442)_0.jpg,2023-04-30 01:16:28.193853,Sad
kio (5442)_1.jpg,2023-04-30 01:16:28.199376,Neutral
kio (5442)_2.jpg,2023-04-30 01:16:28.204198,Sad
kio (5442)_3.jpg,2023-04-30 01:16:28.208200,Sad
kio (5442)_4.jpg,2023-04-30 01:16:28.213199,Neutral
kio (5442)_5.jpg,2023-04-30 01:16:28.219202,Neutral
kio (5443)_0.jpg,2023-04-30 01:16:28.224204,Sad
kio (5443)_1.jpg,2023-04-30 01:16:28.229204,Neutral
kio (5443)_2.jpg,2023-04-30 01:16:28.234205,Neutral
kio (5443)_3.jpg,2023-04-30 01:16:28.238206,Sad
kio (5443)_4.jpg,2023-04-30 01:16:28.245206,Sad
kio (5444)_0.jpg,2023-04-30 01:16:28.249208,Neutral
kio (5444)_1.jpg,2023-04-30 01:16:28.254209,Sad
kio (5444)_2.jpg,2023-04-30 01:16:28.259211,Sad
kio (5444)_3.jpg,2023-04-30 01:16:28.264212,Sad
kio (5444)_4.jpg,2023-04-30 01:16:28.269213,Sad
kio (5444)_5.jpg,2023-04-30 01:16:28.274213,Neutral
kio (5444)_6.jpg,2023-04-30 01:16:28.279215,Neutral
kio (5444)_7.jpg,2023-04-30 01:16:28.284215,Happy
kio (5445)_0.jpg,2023-04-30 01:16:28.289217,Neutral
kio (5445)_1.jpg,2023-04-30 01:16:28.293218,Sad
kio (5445)_2.jpg,2023-04-30 01:16:28.299219,Sad
kio (5445)_3.jpg,2023-04-30 01:16:28.304220,Sad
kio (5445)_4.jpg,2023-04-30 01:16:28.310221,Neutral
kio (5445)_5.jpg,2023-04-30 01:16:28.315222,Neutral
kio (5446)_0.jpg,2023-04-30 01:16:28.320224,Sad
kio (5446)_1.jpg,2023-04-30 01:16:28.325225,Sad
kio (5446)_2.jpg,2023-04-30 01:16:28.330227,Sad
kio (5446)_3.jpg,2023-04-30 01:16:28.335228,Sad
kio (5446)_4.jpg,2023-04-30 01:16:28.340228,Neutral
kio (5446)_5.jpg,2023-04-30 01:16:28.345231,Neutral
kio (5446)_6.jpg,2023-04-30 01:16:28.350231,Neutral
kio (5447)_0.jpg,2023-04-30 01:16:28.355233,Sad
kio (5447)_1.jpg,2023-04-30 01:16:28.360234,Neutral
kio (5447)_2.jpg,2023-04-30 01:16:28.364236,Sad
kio (5447)_3.jpg,2023-04-30 01:16:28.369237,Sad
kio (5447)_4.jpg,2023-04-30 01:16:28.375117,Neutral
kio (5448)_0.jpg,2023-04-30 01:16:28.379941,Neutral
kio (5448)_1.jpg,2023-04-30 01:16:28.384945,Sad
kio (5448)_2.jpg,2023-04-30 01:16:28.389946,Neutral
kio (5448)_3.jpg,2023-04-30 01:16:28.395212,Sad
kio (5448)_4.jpg,2023-04-30 01:16:28.399213,Sad
kio (5448)_5.jpg,2023-04-30 01:16:28.404214,Sad
kio (5449)_0.jpg,2023-04-30 01:16:28.409004,Sad
kio (5449)_1.jpg,2023-04-30 01:16:28.414333,Sad
kio (5449)_2.jpg,2023-04-30 01:16:28.419338,Fear
kio (5449)_3.jpg,2023-04-30 01:16:28.424340,Neutral
kio (5449)_4.jpg,2023-04-30 01:16:28.428873,Sad
kio (5449)_5.jpg,2023-04-30 01:16:28.433874,Neutral
kio (5449)_6.jpg,2023-04-30 01:16:28.437765,Sad
kio (545)_0.jpg,2023-04-30 01:16:28.442767,Fear
