Image Name,Time,Emotion
kio (6207)_1.jpg,2023-04-30 01:16:54.248266,Sad
kio (6207)_2.jpg,2023-04-30 01:16:54.253267,Fear
kio (6207)_3.jpg,2023-04-30 01:16:54.258268,Fear
kio (6207)_4.jpg,2023-04-30 01:16:54.264269,Neutral
kio (6208)_0.jpg,2023-04-30 01:16:54.269270,Sad
kio (6208)_1.jpg,2023-04-30 01:16:54.274271,Sad
kio (6208)_2.jpg,2023-04-30 01:16:54.279274,Neutral
kio (6208)_3.jpg,2023-04-30 01:16:54.284274,Neutral
kio (6208)_4.jpg,2023-04-30 01:16:54.290275,Happy
kio (6208)_5.jpg,2023-04-30 01:16:54.294276,Sad
kio (6208)_6.jpg,2023-04-30 01:16:54.299278,Sad
kio (6208)_7.jpg,2023-04-30 01:16:54.304278,Fear
kio (6209)_0.jpg,2023-04-30 01:16:54.309280,Sad
kio (6209)_1.jpg,2023-04-30 01:16:54.314281,Sad
kio (6209)_2.jpg,2023-04-30 01:16:54.319282,Sad
kio (6209)_3.jpg,2023-04-30 01:16:54.324283,Sad
kio (6209)_4.jpg,2023-04-30 01:16:54.329284,Sad
kio (6209)_5.jpg,2023-04-30 01:16:54.335286,Neutral
kio (621)_0.jpg,2023-04-30 01:16:54.340287,Neutral
kio (621)_1.jpg,2023-04-30 01:16:54.346288,Happy
kio (621)_2.jpg,2023-04-30 01:16:54.351290,Surprise
kio (621)_3.jpg,2023-04-30 01:16:54.356290,Neutral
kio (6210)_0.jpg,2023-04-30 01:16:54.361291,Sad
kio (6210)_1.jpg,2023-04-30 01:16:54.366293,Sad
kio (6210)_2.jpg,2023-04-30 01:16:54.371294,Fear
kio (6210)_3.jpg,2023-04-30 01:16:54.376295,Sad
kio (6210)_4.jpg,2023-04-30 01:16:54.381296,Sad
kio (6211)_0.jpg,2023-04-30 01:16:54.386297,Neutral
kio (6211)_1.jpg,2023-04-30 01:16:54.391298,Neutral
kio (6211)_2.jpg,2023-04-30 01:16:54.396299,Fear
kio (6211)_3.jpg,2023-04-30 01:16:54.401300,Angry
kio (6211)_4.jpg,2023-04-30 01:16:54.406301,Sad
kio (6211)_5.jpg,2023-04-30 01:16:54.411302,Fear
kio (6212)_0.jpg,2023-04-30 01:16:54.417304,Sad
kio (6212)_1.jpg,2023-04-30 01:16:54.422305,Sad
kio (6212)_2.jpg,2023-04-30 01:16:54.427306,Fear
kio (6212)_3.jpg,2023-04-30 01:16:54.433307,Neutral
kio (6212)_4.jpg,2023-04-30 01:16:54.437309,Neutral
kio (6213)_0.jpg,2023-04-30 01:16:54.442309,Sad
kio (6213)_1.jpg,2023-04-30 01:16:54.448311,Sad
kio (6213)_2.jpg,2023-04-30 01:16:54.454312,Neutral
kio (6213)_3.jpg,2023-04-30 01:16:54.459313,Fear
kio (6213)_4.jpg,2023-04-30 01:16:54.464316,Neutral
kio (6213)_5.jpg,2023-04-30 01:16:54.470316,Sad
kio (6214)_0.jpg,2023-04-30 01:16:54.475317,Fear
kio (6214)_1.jpg,2023-04-30 01:16:54.480318,Angry
kio (6214)_2.jpg,2023-04-30 01:16:54.485320,Sad
kio (6214)_3.jpg,2023-04-30 01:16:54.490320,Sad
kio (6214)_4.jpg,2023-04-30 01:16:54.495322,Neutral
kio (6215)_0.jpg,2023-04-30 01:16:54.500324,Sad
kio (6215)_1.jpg,2023-04-30 01:16:54.505324,Sad
kio (6215)_2.jpg,2023-04-30 01:16:54.510325,Fear
kio (6215)_3.jpg,2023-04-30 01:16:54.516327,Neutral
kio (6215)_4.jpg,2023-04-30 01:16:54.521327,Fear
kio (6216)_0.jpg,2023-04-30 01:16:54.526328,Neutral
kio (6216)_1.jpg,2023-04-30 01:16:54.531330,Sad
kio (6216)_2.jpg,2023-04-30 01:16:54.536331,Sad
kio (6216)_3.jpg,2023-04-30 01:16:54.541332,Neutral
kio (6216)_4.jpg,2023-04-30 01:16:54.546333,Angry
kio (6216)_5.jpg,2023-04-30 01:16:54.551334,Fear
kio (6216)_6.jpg,2023-04-30 01:16:54.556335,Sad
kio (6217)_0.jpg,2023-04-30 01:16:54.561336,Neutral
kio (6217)_1.jpg,2023-04-30 01:16:54.566337,Sad
kio (6217)_2.jpg,2023-04-30 01:16:54.571339,Fear
kio (6217)_3.jpg,2023-04-30 01:16:54.576340,Neutral
kio (6217)_4.jpg,2023-04-30 01:16:54.581341,Sad
kio (6218)_0.jpg,2023-04-30 01:16:54.586342,Sad
kio (6218)_1.jpg,2023-04-30 01:16:54.592344,Fear
kio (6218)_2.jpg,2023-04-30 01:16:54.597345,Sad
kio (6218)_3.jpg,2023-04-30 01:16:54.603346,Angry
kio (6218)_4.jpg,2023-04-30 01:16:54.608348,Fear
kio (6219)_0.jpg,2023-04-30 01:16:54.613349,Sad
kio (6219)_1.jpg,2023-04-30 01:16:54.619350,Neutral
kio (6219)_2.jpg,2023-04-30 01:16:54.625352,Fear
kio (6219)_3.jpg,2023-04-30 01:16:54.631353,Sad
kio (6219)_4.jpg,2023-04-30 01:16:54.637353,Sad
kio (622)_0.jpg,2023-04-30 01:16:54.643356,Fear
kio (622)_1.jpg,2023-04-30 01:16:54.649357,Happy
kio (622)_2.jpg,2023-04-30 01:16:54.654358,Happy
kio (6220)_0.jpg,2023-04-30 01:16:54.658359,Sad
kio (6220)_1.jpg,2023-04-30 01:16:54.663360,Sad
kio (6220)_2.jpg,2023-04-30 01:16:54.669361,Sad
kio (6220)_3.jpg,2023-04-30 01:16:54.675363,Sad
kio (6220)_4.jpg,2023-04-30 01:16:54.680363,Fear
kio (6221)_0.jpg,2023-04-30 01:16:54.686365,Sad
kio (6221)_1.jpg,2023-04-30 01:16:54.691367,Angry
kio (6221)_2.jpg,2023-04-30 01:16:54.697368,Sad
kio (6221)_3.jpg,2023-04-30 01:16:54.703369,Sad
kio (6222)_0.jpg,2023-04-30 01:16:54.708371,Sad
kio (6222)_1.jpg,2023-04-30 01:16:54.713371,Sad
kio (6222)_2.jpg,2023-04-30 01:16:54.718372,Happy
kio (6222)_3.jpg,2023-04-30 01:16:54.723373,Sad
kio (6223)_0.jpg,2023-04-30 01:16:54.728376,Sad
kio (6223)_1.jpg,2023-04-30 01:16:54.734376,Sad
kio (6223)_2.jpg,2023-04-30 01:16:54.739377,Sad
kio (6223)_3.jpg,2023-04-30 01:16:54.744379,Sad
kio (6223)_4.jpg,2023-04-30 01:16:54.750380,Neutral
kio (6223)_5.jpg,2023-04-30 01:16:54.755381,Sad
kio (6224)_0.jpg,2023-04-30 01:16:54.760382,Sad
kio (6224)_1.jpg,2023-04-30 01:16:54.766383,Neutral
kio (6224)_2.jpg,2023-04-30 01:16:54.771384,Sad
kio (6224)_3.jpg,2023-04-30 01:16:54.776386,Neutral
kio (6225)_0.jpg,2023-04-30 01:16:54.781386,Sad
kio (6225)_1.jpg,2023-04-30 01:16:54.786387,Sad
kio (6225)_2.jpg,2023-04-30 01:16:54.791389,Sad
kio (6226)_0.jpg,2023-04-30 01:16:54.796390,Sad
kio (6226)_1.jpg,2023-04-30 01:16:54.801390,Neutral
kio (6226)_2.jpg,2023-04-30 01:16:54.806392,Sad
kio (6227)_0.jpg,2023-04-30 01:16:54.811394,Sad
kio (6227)_1.jpg,2023-04-30 01:16:54.816395,Neutral
kio (6228)_0.jpg,2023-04-30 01:16:54.821397,Sad
kio (6228)_1.jpg,2023-04-30 01:16:54.827397,Neutral
kio (6228)_2.jpg,2023-04-30 01:16:54.832398,Sad
kio (6228)_3.jpg,2023-04-30 01:16:54.838399,Happy
