Image Name,Time,Emotion
kio (1099)_2.jpg,2023-04-30 01:40:39.253574,Neutral
kio (1099)_3.jpg,2023-04-30 01:40:39.255574,Neutral
kio (1100)_0.jpg,2023-04-30 01:40:39.257575,Sad
kio (1100)_1.jpg,2023-04-30 01:40:39.260576,Angry
kio (1100)_2.jpg,2023-04-30 01:40:39.262576,Sad
kio (1100)_3.jpg,2023-04-30 01:40:39.264577,Sad
kio (1101)_0.jpg,2023-04-30 01:40:39.266577,Happy
kio (1102)_0.jpg,2023-04-30 01:40:39.269578,Neutral
kio (1102)_1.jpg,2023-04-30 01:40:39.271578,Sad
kio (1102)_2.jpg,2023-04-30 01:40:39.273579,Neutral
kio (1103)_0.jpg,2023-04-30 01:40:39.275579,Sad
kio (1103)_1.jpg,2023-04-30 01:40:39.278580,Sad
kio (1103)_2.jpg,2023-04-30 01:40:39.280581,Sad
kio (1103)_3.jpg,2023-04-30 01:40:39.283581,Sad
kio (1104)_0.jpg,2023-04-30 01:40:39.285581,Neutral
kio (1104)_1.jpg,2023-04-30 01:40:39.287582,Sad
kio (1104)_2.jpg,2023-04-30 01:40:39.289583,Neutral
kio (1104)_3.jpg,2023-04-30 01:40:39.292583,Fear
kio (1104)_4.jpg,2023-04-30 01:40:39.295078,Sad
kio (1105)_0.jpg,2023-04-30 01:40:39.297283,Neutral
kio (1105)_1.jpg,2023-04-30 01:40:39.299283,Fear
kio (1105)_2.jpg,2023-04-30 01:40:39.301633,Sad
kio (1106)_0.jpg,2023-04-30 01:40:39.303569,Sad
kio (1106)_1.jpg,2023-04-30 01:40:39.305569,Fear
kio (1106)_2.jpg,2023-04-30 01:40:39.307570,Neutral
kio (1106)_3.jpg,2023-04-30 01:40:39.309571,Sad
kio (1106)_4.jpg,2023-04-30 01:40:39.312618,Sad
kio (1106)_5.jpg,2023-04-30 01:40:39.314618,Sad
kio (1107)_0.jpg,2023-04-30 01:40:39.316930,Neutral
kio (1107)_1.jpg,2023-04-30 01:40:39.318934,Sad
kio (1107)_2.jpg,2023-04-30 01:40:39.320934,Neutral
kio (1107)_3.jpg,2023-04-30 01:40:39.322935,Sad
kio (1107)_4.jpg,2023-04-30 01:40:39.324935,Neutral
kio (1108)_0.jpg,2023-04-30 01:40:39.327878,Happy
kio (1108)_1.jpg,2023-04-30 01:40:39.330074,Sad
kio (1108)_2.jpg,2023-04-30 01:40:39.332532,Sad
kio (1108)_3.jpg,2023-04-30 01:40:39.334937,Fear
kio (1108)_4.jpg,2023-04-30 01:40:39.336939,Sad
kio (1108)_5.jpg,2023-04-30 01:40:39.338939,Neutral
kio (1108)_6.jpg,2023-04-30 01:40:39.340940,Neutral
kio (1108)_7.jpg,2023-04-30 01:40:39.343940,Surprise
kio (1109)_0.jpg,2023-04-30 01:40:39.346068,Neutral
kio (1109)_1.jpg,2023-04-30 01:40:39.348309,Neutral
kio (1109)_2.jpg,2023-04-30 01:40:39.350508,Neutral
kio (1109)_3.jpg,2023-04-30 01:40:39.352697,Neutral
kio (1109)_4.jpg,2023-04-30 01:40:39.354854,Neutral
kio (1109)_5.jpg,2023-04-30 01:40:39.357055,Sad
kio (1110)_0.jpg,2023-04-30 01:40:39.359214,Happy
kio (1110)_1.jpg,2023-04-30 01:40:39.361406,Neutral
kio (1110)_2.jpg,2023-04-30 01:40:39.363603,Fear
kio (1110)_3.jpg,2023-04-30 01:40:39.365800,Fear
kio (1111)_0.jpg,2023-04-30 01:40:39.368038,Neutral
kio (1111)_1.jpg,2023-04-30 01:40:39.370726,Neutral
kio (1112)_0.jpg,2023-04-30 01:40:39.372925,Sad
kio (1112)_1.jpg,2023-04-30 01:40:39.375119,Happy
kio (1112)_2.jpg,2023-04-30 01:40:39.377119,Neutral
kio (1112)_3.jpg,2023-04-30 01:40:39.379260,Sad
kio (1113)_0.jpg,2023-04-30 01:40:39.381451,Happy
kio (1113)_1.jpg,2023-04-30 01:40:39.383643,Sad
kio (1113)_2.jpg,2023-04-30 01:40:39.385842,Sad
kio (1114)_0.jpg,2023-04-30 01:40:39.387842,Sad
kio (1114)_1.jpg,2023-04-30 01:40:39.390236,Neutral
kio (1114)_2.jpg,2023-04-30 01:40:39.392431,Neutral
kio (1115)_0.jpg,2023-04-30 01:40:39.394632,Neutral
kio (1115)_1.jpg,2023-04-30 01:40:39.396829,Sad
kio (1115)_2.jpg,2023-04-30 01:40:39.398829,Neutral
kio (1115)_3.jpg,2023-04-30 01:40:39.400830,Neutral
kio (1115)_4.jpg,2023-04-30 01:40:39.402830,Sad
kio (1115)_5.jpg,2023-04-30 01:40:39.404830,Sad
kio (1116)_0.jpg,2023-04-30 01:40:39.408059,Sad
kio (1116)_1.jpg,2023-04-30 01:40:39.410060,Sad
kio (1116)_2.jpg,2023-04-30 01:40:39.412738,Happy
kio (1116)_3.jpg,2023-04-30 01:40:39.414739,Neutral
kio (1116)_4.jpg,2023-04-30 01:40:39.417133,Neutral
kio (1116)_5.jpg,2023-04-30 01:40:39.419134,Neutral
kio (1117)_0.jpg,2023-04-30 01:40:39.421792,Fear
kio (1117)_1.jpg,2023-04-30 01:40:39.423793,Neutral
kio (1117)_2.jpg,2023-04-30 01:40:39.426201,Neutral
kio (1117)_3.jpg,2023-04-30 01:40:39.428471,Sad
kio (1118)_0.jpg,2023-04-30 01:40:39.430472,Neutral
kio (1118)_1.jpg,2023-04-30 01:40:39.432864,Sad
kio (1118)_2.jpg,2023-04-30 01:40:39.435061,Fear
kio (1118)_3.jpg,2023-04-30 01:40:39.437267,Neutral
kio (1119)_0.jpg,2023-04-30 01:40:39.439467,Neutral
kio (1119)_1.jpg,2023-04-30 01:40:39.441664,Fear
kio (1119)_2.jpg,2023-04-30 01:40:39.443813,Sad
kio (1119)_3.jpg,2023-04-30 01:40:39.446015,Neutral
kio (1120)_0.jpg,2023-04-30 01:40:39.448212,Fear
kio (1120)_1.jpg,2023-04-30 01:40:39.450411,Neutral
kio (1120)_2.jpg,2023-04-30 01:40:39.452601,Sad
kio (1121)_0.jpg,2023-04-30 01:40:39.454606,Neutral
kio (1121)_1.jpg,2023-04-30 01:40:39.457038,Sad
kio (1121)_2.jpg,2023-04-30 01:40:39.459038,Sad
kio (1121)_3.jpg,2023-04-30 01:40:39.461039,Neutral
kio (1121)_4.jpg,2023-04-30 01:40:39.463039,Neutral
kio (1121)_5.jpg,2023-04-30 01:40:39.465040,Neutral
kio (1121)_6.jpg,2023-04-30 01:40:39.468040,Neutral
kio (1122)_0.jpg,2023-04-30 01:40:39.470353,Neutral
kio (1122)_1.jpg,2023-04-30 01:40:39.472353,Neutral
kio (1122)_2.jpg,2023-04-30 01:40:39.474753,Happy
kio (1122)_3.jpg,2023-04-30 01:40:39.476946,Sad
kio (1122)_4.jpg,2023-04-30 01:40:39.479147,Neutral
kio (1122)_5.jpg,2023-04-30 01:40:39.481345,Sad
kio (1123)_0.jpg,2023-04-30 01:40:39.483345,Neutral
kio (1123)_1.jpg,2023-04-30 01:40:39.486008,Neutral
kio (1123)_2.jpg,2023-04-30 01:40:39.488211,Neutral
kio (1123)_3.jpg,2023-04-30 01:40:39.490407,Neutral
kio (1124)_0.jpg,2023-04-30 01:40:39.492596,Sad
kio (1124)_1.jpg,2023-04-30 01:40:39.494799,Sad
kio (1124)_2.jpg,2023-04-30 01:40:39.497008,Happy
kio (1124)_3.jpg,2023-04-30 01:40:39.499206,Neutral
kio (1124)_4.jpg,2023-04-30 01:40:39.501401,Neutral
kio (1124)_5.jpg,2023-04-30 01:40:39.503601,Fear
kio (1125)_0.jpg,2023-04-30 01:40:39.505805,Neutral
kio (1125)_1.jpg,2023-04-30 01:40:39.508003,Sad
kio (1125)_2.jpg,2023-04-30 01:40:39.510004,Sad
kio (1125)_3.jpg,2023-04-30 01:40:39.512401,Neutral
kio (1126)_0.jpg,2023-04-30 01:40:39.514401,Neutral
kio (1126)_1.jpg,2023-04-30 01:40:39.516796,Neutral
kio (1126)_2.jpg,2023-04-30 01:40:39.518993,Neutral
kio (1126)_3.jpg,2023-04-30 01:40:39.521198,Sad
kio (1126)_4.jpg,2023-04-30 01:40:39.523198,Neutral
kio (1127)_0.jpg,2023-04-30 01:40:39.525199,Neutral
kio (1127)_1.jpg,2023-04-30 01:40:39.527200,Fear
kio (1128)_0.jpg,2023-04-30 01:40:39.530200,Neutral
kio (1128)_1.jpg,2023-04-30 01:40:39.532204,Sad
kio (1128)_2.jpg,2023-04-30 01:40:39.534753,Sad
kio (1128)_3.jpg,2023-04-30 01:40:39.536989,Neutral
kio (1129)_0.jpg,2023-04-30 01:40:39.539189,Sad
kio (1129)_1.jpg,2023-04-30 01:40:39.541390,Fear
kio (1129)_2.jpg,2023-04-30 01:40:39.543591,Neutral
kio (1129)_3.jpg,2023-04-30 01:40:39.545755,Angry
kio (1129)_4.jpg,2023-04-30 01:40:39.547982,Sad
kio (1130)_0.jpg,2023-04-30 01:40:39.550184,Sad
kio (1130)_1.jpg,2023-04-30 01:40:39.552389,Sad
kio (1130)_2.jpg,2023-04-30 01:40:39.554621,Sad
kio (1130)_3.jpg,2023-04-30 01:40:39.556622,Neutral
kio (1131)_0.jpg,2023-04-30 01:40:39.558622,Sad
kio (1131)_1.jpg,2023-04-30 01:40:39.560622,Fear
kio (1131)_2.jpg,2023-04-30 01:40:39.563429,Neutral
kio (1131)_3.jpg,2023-04-30 01:40:39.565432,Sad
kio (1132)_0.jpg,2023-04-30 01:40:39.567434,Fear
kio (1132)_1.jpg,2023-04-30 01:40:39.569434,Sad
kio (1132)_2.jpg,2023-04-30 01:40:39.571435,Sad
kio (1132)_3.jpg,2023-04-30 01:40:39.574431,Neutral
kio (1133)_0.jpg,2023-04-30 01:40:39.576432,Sad
