Image Name,Time,Emotion
kio (5806)_0.jpg,2023-04-30 01:16:41.341585,Sad
kio (5806)_1.jpg,2023-04-30 01:16:41.346792,Sad
kio (5806)_2.jpg,2023-04-30 01:16:41.351931,Sad
kio (5806)_3.jpg,2023-04-30 01:16:41.356669,Neutral
kio (5806)_4.jpg,2023-04-30 01:16:41.362674,Sad
kio (5806)_5.jpg,2023-04-30 01:16:41.367675,Neutral
kio (5806)_6.jpg,2023-04-30 01:16:41.372676,Sad
kio (5807)_0.jpg,2023-04-30 01:16:41.377677,Sad
kio (5807)_1.jpg,2023-04-30 01:16:41.382678,Sad
kio (5807)_2.jpg,2023-04-30 01:16:41.388679,Neutral
kio (5807)_3.jpg,2023-04-30 01:16:41.393681,Neutral
kio (5807)_4.jpg,2023-04-30 01:16:41.398681,Neutral
kio (5807)_5.jpg,2023-04-30 01:16:41.406683,Sad
kio (5808)_0.jpg,2023-04-30 01:16:41.411684,Sad
kio (5808)_1.jpg,2023-04-30 01:16:41.416686,Happy
kio (5808)_2.jpg,2023-04-30 01:16:41.421687,Neutral
kio (5808)_3.jpg,2023-04-30 01:16:41.426688,Sad
kio (5808)_4.jpg,2023-04-30 01:16:41.431689,Sad
kio (5809)_0.jpg,2023-04-30 01:16:41.436690,Neutral
kio (5809)_1.jpg,2023-04-30 01:16:41.441691,Sad
kio (5809)_2.jpg,2023-04-30 01:16:41.446692,Sad
kio (5809)_3.jpg,2023-04-30 01:16:41.451694,Sad
kio (5809)_4.jpg,2023-04-30 01:16:41.457695,Sad
kio (5809)_5.jpg,2023-04-30 01:16:41.462696,Sad
kio (5809)_6.jpg,2023-04-30 01:16:41.467697,Neutral
kio (5809)_7.jpg,2023-04-30 01:16:41.472698,Happy
kio (581)_0.jpg,2023-04-30 01:16:41.477700,Happy
kio (581)_1.jpg,2023-04-30 01:16:41.482701,Happy
kio (581)_2.jpg,2023-04-30 01:16:41.487702,Sad
kio (581)_3.jpg,2023-04-30 01:16:41.494705,Sad
kio (5810)_0.jpg,2023-04-30 01:16:41.500705,Sad
kio (5810)_1.jpg,2023-04-30 01:16:41.506707,Sad
kio (5810)_2.jpg,2023-04-30 01:16:41.516708,Sad
kio (5810)_3.jpg,2023-04-30 01:16:41.522711,Sad
kio (5810)_4.jpg,2023-04-30 01:16:41.529711,Sad
kio (5811)_0.jpg,2023-04-30 01:16:41.641818,Sad
kio (5811)_1.jpg,2023-04-30 01:16:41.646819,Neutral
kio (5811)_2.jpg,2023-04-30 01:16:41.651820,Sad
kio (5811)_3.jpg,2023-04-30 01:16:41.656824,Happy
kio (5811)_4.jpg,2023-04-30 01:16:41.661789,Neutral
kio (5811)_5.jpg,2023-04-30 01:16:41.666790,Angry
kio (5812)_0.jpg,2023-04-30 01:16:41.671792,Sad
kio (5812)_1.jpg,2023-04-30 01:16:41.677793,Sad
kio (5812)_2.jpg,2023-04-30 01:16:41.682794,Sad
kio (5812)_3.jpg,2023-04-30 01:16:41.687782,Neutral
kio (5812)_4.jpg,2023-04-30 01:16:41.692785,Neutral
kio (5812)_5.jpg,2023-04-30 01:16:41.697786,Angry
kio (5813)_0.jpg,2023-04-30 01:16:41.702787,Sad
kio (5813)_1.jpg,2023-04-30 01:16:41.707788,Sad
kio (5813)_2.jpg,2023-04-30 01:16:41.713790,Sad
kio (5813)_3.jpg,2023-04-30 01:16:41.718791,Neutral
kio (5813)_4.jpg,2023-04-30 01:16:41.723788,Neutral
kio (5814)_0.jpg,2023-04-30 01:16:41.728789,Sad
kio (5814)_1.jpg,2023-04-30 01:16:41.734793,Sad
kio (5814)_2.jpg,2023-04-30 01:16:41.739852,Neutral
kio (5814)_3.jpg,2023-04-30 01:16:41.743853,Sad
kio (5814)_4.jpg,2023-04-30 01:16:41.749793,Neutral
kio (5815)_0.jpg,2023-04-30 01:16:41.754797,Fear
kio (5815)_1.jpg,2023-04-30 01:16:41.759758,Sad
kio (5815)_2.jpg,2023-04-30 01:16:41.764569,Sad
kio (5815)_3.jpg,2023-04-30 01:16:41.769573,Neutral
kio (5815)_4.jpg,2023-04-30 01:16:41.774317,Happy
kio (5815)_5.jpg,2023-04-30 01:16:41.780319,Neutral
kio (5815)_6.jpg,2023-04-30 01:16:41.785323,Sad
kio (5816)_0.jpg,2023-04-30 01:16:41.789999,Fear
kio (5816)_1.jpg,2023-04-30 01:16:41.795001,Fear
kio (5816)_2.jpg,2023-04-30 01:16:41.801005,Sad
kio (5816)_3.jpg,2023-04-30 01:16:41.806009,Happy
kio (5816)_4.jpg,2023-04-30 01:16:41.811012,Neutral
kio (5816)_5.jpg,2023-04-30 01:16:41.816932,Happy
kio (5817)_0.jpg,2023-04-30 01:16:41.822084,Sad
kio (5817)_1.jpg,2023-04-30 01:16:41.827085,Happy
kio (5817)_2.jpg,2023-04-30 01:16:41.832240,Neutral
kio (5817)_3.jpg,2023-04-30 01:16:41.837245,Sad
kio (5817)_4.jpg,2023-04-30 01:16:41.842246,Sad
kio (5817)_5.jpg,2023-04-30 01:16:41.846926,Sad
kio (5818)_0.jpg,2023-04-30 01:16:41.852645,Sad
kio (5818)_1.jpg,2023-04-30 01:16:41.857650,Neutral
kio (5818)_2.jpg,2023-04-30 01:16:41.862651,Neutral
kio (5818)_3.jpg,2023-04-30 01:16:41.867652,Sad
kio (5819)_0.jpg,2023-04-30 01:16:41.872653,Sad
kio (5819)_1.jpg,2023-04-30 01:16:41.878660,Sad
kio (5819)_2.jpg,2023-04-30 01:16:41.883593,Angry
kio (5819)_3.jpg,2023-04-30 01:16:41.889630,Happy
kio (5819)_4.jpg,2023-04-30 01:16:41.894644,Sad
kio (5819)_5.jpg,2023-04-30 01:16:41.899647,Sad
kio (5819)_6.jpg,2023-04-30 01:16:41.904648,Sad
kio (582)_0.jpg,2023-04-30 01:16:41.909650,Happy
kio (582)_1.jpg,2023-04-30 01:16:41.914644,Neutral
kio (582)_2.jpg,2023-04-30 01:16:41.919647,Neutral
kio (5820)_0.jpg,2023-04-30 01:16:41.924649,Sad
kio (5820)_1.jpg,2023-04-30 01:16:41.929650,Happy
kio (5820)_2.jpg,2023-04-30 01:16:41.934651,Sad
kio (5820)_3.jpg,2023-04-30 01:16:41.940875,Happy
kio (5820)_4.jpg,2023-04-30 01:16:41.946010,Sad
kio (5820)_5.jpg,2023-04-30 01:16:41.951177,Neutral
kio (5820)_6.jpg,2023-04-30 01:16:41.956182,Angry
kio (5820)_7.jpg,2023-04-30 01:16:41.960791,Neutral
kio (5820)_8.jpg,2023-04-30 01:16:41.965792,Sad
kio (5821)_0.jpg,2023-04-30 01:16:41.970793,Sad
kio (5821)_1.jpg,2023-04-30 01:16:41.975795,Sad
kio (5821)_2.jpg,2023-04-30 01:16:41.981796,Neutral
kio (5821)_3.jpg,2023-04-30 01:16:41.986797,Sad
kio (5821)_4.jpg,2023-04-30 01:16:41.991798,Angry
kio (5821)_5.jpg,2023-04-30 01:16:41.996799,Angry
